hebrew,english,first_unit,units_seen,occurrences,example_phrase
בישול,cooking,72,1,1,בישול הוא אמנות.
אמנות,art,72,1,1,בישול הוא אמנות.
קיבלנו,we received,72,1,1,קיבלנו הזמנה לחתונה של בת הדודה שלי.
הזמנה,invitation,72,1,1,קיבלנו הזמנה לחתונה של בת הדודה שלי.
לחתונה,for the wedding / to the wedding,72,1,1,קיבלנו הזמנה לחתונה של בת הדודה שלי.
בת,daughter / the cousin / the female cousin / years old (sg. fem.),72,1,1,קיבלנו הזמנה לחתונה של בת הדודה שלי.
הדודה,the aunt / the cousin / the female cousin,72,1,1,קיבלנו הזמנה לחתונה של בת הדודה שלי.
ההתנצלות,the apology,72,1,1,ההתנצלות לא תשנה כלום.
ללמוד,studying (gerund) / to learn / to study,73,2,2,"אם היא רוצָה להיות רופאה, היא תהיה צריכה ללמוד גנטיקה, ביולוגיה וכימיה."
ההבדל,the difference,73,1,1,מה ההבדל בין תזה למחקר?
תזה,thesis,73,1,1,מה ההבדל בין תזה למחקר?
למחקר,to a research / to a study,73,1,1,מה ההבדל בין תזה למחקר?
מהירות,fast / speed / the speed of light / velocity,73,1,1,מהירות האור גדולה ממהירות הקול.
האור,the light / the speed of light,73,1,1,מהירות האור גדולה ממהירות הקול.
ממהירות,from the speed / from the velocity / the speed of sound,73,1,1,מהירות האור גדולה ממהירות הקול.
הקול,the speed of sound / the voice,73,1,1,מהירות האור גדולה ממהירות הקול.
ההגדרה,the definition,73,1,1,ההגדרה שלהם שגויה.
שגויה,incorrect (sg. fem.) / wrong (sg. fem.),73,1,1,ההגדרה שלהם שגויה.
האנרגיה,the energy,73,1,1,האנרגיה קשורה למסה של החפץ.
קשורה,is connected / is related,73,1,1,האנרגיה קשורה למסה של החפץ.
למסה,to the mass,73,1,1,האנרגיה קשורה למסה של החפץ.
החפץ,the object,73,1,1,האנרגיה קשורה למסה של החפץ.
תהיה,(she) will be / (you) will be / there will be,73,1,1,"אם היא רוצָה להיות רופאה, היא תהיה צריכה ללמוד גנטיקה, ביולוגיה וכימיה."
צריכה,need / needs / should,73,1,1,"אם היא רוצָה להיות רופאה, היא תהיה צריכה ללמוד גנטיקה, ביולוגיה וכימיה."
גנטיקה,genetics,73,1,1,"אם היא רוצָה להיות רופאה, היא תהיה צריכה ללמוד גנטיקה, ביולוגיה וכימיה."
ביולוגיה,biology,73,1,1,"אם היא רוצָה להיות רופאה, היא תהיה צריכה ללמוד גנטיקה, ביולוגיה וכימיה."
וכימיה,and chemistry,73,1,1,"אם היא רוצָה להיות רופאה, היא תהיה צריכה ללמוד גנטיקה, ביולוגיה וכימיה."
עליך,about you / on you,74,2,2,מה הז'אנר האהוב עליך?
זמרת,singer,74,1,1,היא זמרת בלהקה.
בלהקה,in a band,74,1,1,היא זמרת בלהקה.
השכן,the neighbor,74,1,1,השכן שלי מנגן בפסנתר.
מנגן,plays (an instrument),74,1,1,השכן שלי מנגן בפסנתר.
בפסנתר,in the piano,74,1,1,השכן שלי מנגן בפסנתר.
הז'אנר,the genre,74,1,1,מה הז'אנר האהוב עליך?
האהוב,the loved,74,1,1,מה הז'אנר האהוב עליך?
שומעת,hear / hears,74,1,1,את שומעת את ההד?
ההד,the echo,74,1,1,את שומעת את ההד?
המנצח,the (music) conductor,74,1,1,המנצח החליט לשנות את הסולם.
לשנות,to change,74,1,1,המנצח החליט לשנות את הסולם.
הסולם,the (musical) key / the (musical) scale / the ladder,74,1,1,המנצח החליט לשנות את הסולם.
הקבוצה,the group / the team,75,1,1,מה הקבוצה האהובה עליך?
האהובה,favorite / loved,75,1,1,מה הקבוצה האהובה עליך?
האלופים,the champions,75,1,1,אנחנו האלופים!
באפריל,in April,75,1,1,באפריל אני רץ מרתון בישראל ובאוגוסט במצרים.
רץ,did run / is running / run,75,1,1,באפריל אני רץ מרתון בישראל ובאוגוסט במצרים.
מרתון,marathon,75,1,1,באפריל אני רץ מרתון בישראל ובאוגוסט במצרים.
ובאוגוסט,and in August,75,1,1,באפריל אני רץ מרתון בישראל ובאוגוסט במצרים.
במצרים,in Egypt,75,1,1,באפריל אני רץ מרתון בישראל ובאוגוסט במצרים.
לבנות,build / building / to build,75,1,1,אני רוצֶה לבנות מכון כושר בחצר.
מכון,gym / institude / institute,75,1,1,אני רוצֶה לבנות מכון כושר בחצר.
כושר,exercise / fitness / gym,75,1,1,אני רוצֶה לבנות מכון כושר בחצר.
בחצר,in a yard / in the yard,75,1,1,אני רוצֶה לבנות מכון כושר בחצר.
האוהדים,the fans,75,1,1,האוהדים עזבו במחצית.
עזבו,(they) have left / (they) left,75,1,1,האוהדים עזבו במחצית.
במחצית,at half-time / in the half,75,1,1,האוהדים עזבו במחצית.
ביותר,biggest / most / the greatest / very,76,3,3,היא המועמדת הרצינית ביותר.
הנשיא,the president,76,1,1,הנשיא לא רוצֶה מלחמה.
מלחמה,war,76,1,1,הנשיא לא רוצֶה מלחמה.
הציבור,the public,76,1,1,הציבור לא אוהב את החוק הזה.
החוק,the law,76,1,1,הציבור לא אוהב את החוק הזה.
הבחירות,the elections,76,1,1,מתי הבחירות?
הקמפיין,the campaign,76,1,1,זה הקמפיין השלישי שלו.
השלישי,the third,76,1,1,זה הקמפיין השלישי שלו.
המועמדת,the candidate,76,1,1,היא המועמדת הרצינית ביותר.
הרצינית,"the serious (f,s)",76,1,1,היא המועמדת הרצינית ביותר.
העלים,the leaves,77,1,1,העלים האדמדמים נופלים לאדמה.
האדמדמים,reddish,77,1,1,העלים האדמדמים נופלים לאדמה.
נופלים,fall / falling,77,1,1,העלים האדמדמים נופלים לאדמה.
לאדמה,to the ground,77,1,1,העלים האדמדמים נופלים לאדמה.
הידית,the handle,77,1,1,הידית מסתובבת והדלת נפתחת.
מסתובבת,is hanging around / spins / turns,77,1,1,הידית מסתובבת והדלת נפתחת.
והדלת,and the door,77,1,1,הידית מסתובבת והדלת נפתחת.
נפתחת,is opened,77,1,1,הידית מסתובבת והדלת נפתחת.
הגחליליות,the fireflies,77,1,1,הגחליליות מופיעות בשדה בלילה.
מופיעות,appear / perform,77,1,1,הגחליליות מופיעות בשדה בלילה.
בלילה,after midnight / at night / in the night,77,1,1,הגחליליות מופיעות בשדה בלילה.
החתלתול,the kitten,77,1,1,החתלתול הקטנטן יושב על הצלוחית.
הקטנטן,tiny,77,1,1,החתלתול הקטנטן יושב על הצלוחית.
הצלוחית,the saucer,77,1,1,החתלתול הקטנטן יושב על הצלוחית.
האביר,the knight,78,1,2,האביר מביא את הסוס שלו למשתה.
האגדה,the legend,78,1,1,האגדה מספרת על דרקון שגר בארמון.
מספרת,is telling / telling / tells,78,1,1,האגדה מספרת על דרקון שגר בארמון.
דרקון,a dragon / dragon,78,1,1,האגדה מספרת על דרקון שגר בארמון.
שגר,who lives,78,1,1,האגדה מספרת על דרקון שגר בארמון.
בארמון,in a palace / in the palace,78,1,1,האגדה מספרת על דרקון שגר בארמון.
מביא,(he) brings / bringing / brings,78,1,1,האביר מביא את הסוס שלו למשתה.
הסוס,the horse / the horse is,78,1,1,האביר מביא את הסוס שלו למשתה.
למשתה,to the banquet / to the feast,78,1,1,האביר מביא את הסוס שלו למשתה.
חצים,arrows,78,1,1,גשם של חצים יורד על האויב.
האויב,the enemy,78,1,1,גשם של חצים יורד על האויב.
החרב,the sword,78,1,1,החרב שברה את המגן של האביר.
שברה,(she) broke / broke,78,1,1,החרב שברה את המגן של האביר.
המגן,the shield,78,1,1,החרב שברה את המגן של האביר.
ניפגש,we will meet,79,1,1,בוא ניפגש מחר.
אהנה,(I) will enjoy,79,1,1,אני אהנה מהסרט.
מהסרט,from the movie,79,1,1,אני אהנה מהסרט.
נישאר,we will stay,79,1,1,אם נישאר ביחד לא ניפגע.
ניפגע,we will get hurt,79,1,1,אם נישאר ביחד לא ניפגע.
יישלח,will be sent,79,1,1,המכתב יישלח מחר בבוקר.
בבוקר,in the morning,79,1,1,המכתב יישלח מחר בבוקר.
גברתי,ma'am / madam,80,1,1,"סליחה גברתי, את יודעת מה השעה?"
השעה,the hour / the time / what time is it,80,1,1,"סליחה גברתי, את יודעת מה השעה?"
כיצד,how,80,1,1,כיצד אני יכולה לעזור לךָ אדוני?
יכולה,can,80,1,1,כיצד אני יכולה לעזור לךָ אדוני?
לעזור,help / helping / to help,80,1,1,כיצד אני יכולה לעזור לךָ אדוני?
לךָ,to you / you,80,1,1,כיצד אני יכולה לעזור לךָ אדוני?
אדוני,sir,80,1,1,כיצד אני יכולה לעזור לךָ אדוני?
אנא,please (formal),80,1,1,אנא הקשיבו.
הקשיבו,listen,80,1,1,אנא הקשיבו.
הבה,let us / let's,80,1,1,הבה לא נשכח מאין באנו.
נשכח,we will forget,80,1,1,הבה לא נשכח מאין באנו.
מאין,from where,80,1,1,הבה לא נשכח מאין באנו.
באנו,we came,80,1,1,הבה לא נשכח מאין באנו.
שלנו,our / ours,81,2,2,"זאת עסקה טובה, אבל התקציב שלנו נמוך."
ההשקעה,the investment,81,1,1,ההשקעה הזאת מסוכנת מדי.
מסוכנת,dangerous,81,1,1,ההשקעה הזאת מסוכנת מדי.
לךְ,do you have / you / you have,81,1,1,יש לךְ כרטיס ביקור?
כרטיס,business card / card / ticket,81,1,1,יש לךְ כרטיס ביקור?
ביקור,business card / visit,81,1,1,יש לךְ כרטיס ביקור?
החוזה,the contract,81,1,1,החוזה יהיה באירו.
באירו,in Euros,81,1,1,החוזה יהיה באירו.
עסקה,deal,81,1,1,"זאת עסקה טובה, אבל התקציב שלנו נמוך."
התקציב,the budget,81,1,1,"זאת עסקה טובה, אבל התקציב שלנו נמוך."
נמוך,deep / low / short,81,1,1,"זאת עסקה טובה, אבל התקציב שלנו נמוך."
המנהל,the manager,81,1,1,המנהל בודק את שער החליפין של השקל מול הדולר.
בודק,check / checking / checks,81,1,1,המנהל בודק את שער החליפין של השקל מול הדולר.
שער,a gate / gate / goal / the exchange rate,81,1,1,המנהל בודק את שער החליפין של השקל מול הדולר.
החליפין,the exchange rate,81,1,1,המנהל בודק את שער החליפין של השקל מול הדולר.
השקל,the shekel,81,1,1,המנהל בודק את שער החליפין של השקל מול הדולר.
מול,facing / in front of / opposite,81,1,1,המנהל בודק את שער החליפין של השקל מול הדולר.
הדולר,the dollar,81,1,1,המנהל בודק את שער החליפין של השקל מול הדולר.
טבעות,rings,82,1,1,טבעות שבתאי עשויות מקרח.
שבתאי,saturn,82,1,1,טבעות שבתאי עשויות מקרח.
עשויות,made,82,1,1,טבעות שבתאי עשויות מקרח.
מקרח,from ice,82,1,1,טבעות שבתאי עשויות מקרח.
צדק,Jupiter,82,1,1,צדק הוא כוכב הלכת הגדול ביותר במערכת השמש שלנו.
כוכב,planet / star / the planet,82,1,1,צדק הוא כוכב הלכת הגדול ביותר במערכת השמש שלנו.
הלכת,the planet,82,1,1,צדק הוא כוכב הלכת הגדול ביותר במערכת השמש שלנו.
הגדול,biggest / the big (sg. masc.) / the greatest,82,1,1,צדק הוא כוכב הלכת הגדול ביותר במערכת השמש שלנו.
במערכת,in the solar system,82,1,1,צדק הוא כוכב הלכת הגדול ביותר במערכת השמש שלנו.
הלוויין,the satellite,82,1,1,הלוויין הישראלי הגיע לאתר השיגור.
הישראלי,the israeli,82,1,1,הלוויין הישראלי הגיע לאתר השיגור.
הגיע,(he) arrived / (he) has arrived / arrived,82,1,1,הלוויין הישראלי הגיע לאתר השיגור.
לאתר,to the site,82,1,1,הלוויין הישראלי הגיע לאתר השיגור.
השיגור,the launch,82,1,1,הלוויין הישראלי הגיע לאתר השיגור.
החללית,the spaceship,82,1,1,החללית נכנסת למסלול הסופי שלה.
נכנסת,enters,82,1,1,החללית נכנסת למסלול הסופי שלה.
למסלול,to the orbit / to the path / to the trajectory,82,1,1,החללית נכנסת למסלול הסופי שלה.
הסופי,the final (sg. masc.),82,1,1,החללית נכנסת למסלול הסופי שלה.
השנה,Rosh Ha'shana / the Jewish New Year / the year / this year,83,1,2,ראש השנה הוא היום הראשון של השנה היהודית.
היהודית,the Jewish,83,1,1,ראש השנה הוא היום הראשון של השנה היהודית.
כיפור,Yom Kippur / the Day of Atonement,83,1,1,יום כיפור הוא יום צום.
צום,fast / fast (n) / fasting,83,1,1,יום כיפור הוא יום צום.
סוכות,Sukkot (holiday) / sukkot,83,1,1,אחרי סוכות אנחנו חוגגים את שמחת תורה.
חוגגים,celebrate,83,1,1,אחרי סוכות אנחנו חוגגים את שמחת תורה.
שמחת,Simchat Torah,83,1,1,אחרי סוכות אנחנו חוגגים את שמחת תורה.
תורה,Simchat Torah / Torah,83,1,1,אחרי סוכות אנחנו חוגגים את שמחת תורה.
שנה,a year / year,83,1,1,בכל שנה סבתא שלי מזמינה את כל המשפחה לחגוג את ליל הסדר אצלה בבית.
מזמינה,asks for / invites / orders,83,1,1,בכל שנה סבתא שלי מזמינה את כל המשפחה לחגוג את ליל הסדר אצלה בבית.
לחגוג,to celebrate,83,1,1,בכל שנה סבתא שלי מזמינה את כל המשפחה לחגוג את ליל הסדר אצלה בבית.
ליל,the Passover Seder,83,1,1,בכל שנה סבתא שלי מזמינה את כל המשפחה לחגוג את ליל הסדר אצלה בבית.
הסדר,the Passover Seder,83,1,1,בכל שנה סבתא שלי מזמינה את כל המשפחה לחגוג את ליל הסדר אצלה בבית.
אצלה,at hers,83,1,1,בכל שנה סבתא שלי מזמינה את כל המשפחה לחגוג את ליל הסדר אצלה בבית.
אחותי,my sister,84,1,1,אחותי רוצָה ללמוד עברית אז היא הולכת לאולפן.
אז,so / then,84,1,1,אחותי רוצָה ללמוד עברית אז היא הולכת לאולפן.
לאולפן,to the Hebrew class / to the Ulpan / to the studio,84,1,1,אחותי רוצָה ללמוד עברית אז היא הולכת לאולפן.
העצמאות,Independence Day,84,1,1,יום העצמאות מתחיל בשקיעה.
מתחיל,is beginning / is starting / starts,84,1,1,יום העצמאות מתחיל בשקיעה.
בשקיעה,at sunset,84,1,1,יום העצמאות מתחיל בשקיעה.
הכנרת,the Kinneret / the Sea of Galilee,84,1,1,הכנרת היא מקור מים חשוב.
מקור,origin / source,84,1,1,הכנרת היא מקור מים חשוב.
ים,a sea / sea,84,1,1,ים המלח הוא המקום הנמוך ביותר בעולם.
המלח,the salt,84,1,1,ים המלח הוא המקום הנמוך ביותר בעולם.
המקום,the place,84,1,1,ים המלח הוא המקום הנמוך ביותר בעולם.
הנמוך,the short (sg. masc.),84,1,1,ים המלח הוא המקום הנמוך ביותר בעולם.
בעולם,in the world,84,1,1,ים המלח הוא המקום הנמוך ביותר בעולם.
