hebrew,hebrew_alt,english,transliteration,skill,page
הציע,)ל(,"Proposed (l), Offered (3.m.s) (Hifil)",hitzi'a (l),Past Active,40
האמין,,"Believed, Trusted (3.m.s) (Hifil)",he'emin,Past Active,40
הזמין,,"Invited, Ordered (3.m.s) (Hifil)",hiz'min,Past Active,40
הבין,,Understood (3.m.s) (Hifil),hevin,Past Active,40
דומה,,Similar (m.s),domeh,Comparison,41
יותר,,More,yoter,Comparison,41
פחות,,Less,pakhot,Comparison,41
הכי,,Most,hakhi,Comparison,41
עלון,עלונים,"Flyer, Pamphlet",alon alonim,Objects,41
מגזין,מגזיני,Magazine,magazin magazini,Objects,41
מחשב,מחשבים,Computer,makh'shev makh'sh'vim,Objects,41
שעון,שעונים,"Watch, Clock, Timer",sha'on sh'onim,Objects,41
רדיו,,Radio,rad'yo,Objects,41
חפץ,חפצים,Object,khefetz kh'fetzim,Objects,41
שולחן עבודה,שולחנות עבודה,Desk shul'khan,avodah shul'khanot avodah,Objects,41
שעון יד,שעוני יד,(Wrist) Watch,sh'on yad she'oni yad,Objects,41
ארנק,ארנקים,"Wallet, Purse",ar'nak ar'nakim,Objects,41
סל,סלים,Basket,sal salim,Objects,41
טלפון נייד,טלפונים ניידים,Mobile Phone,telefon nayad telefonim nayadim,Objects,41
סבון,סבונים,Soap,sabon sabonim,Objects,41
מסך,מסכים,"Screen, Monitor",masakh masakhim,Objects,41
טלפון,טלפונים,Telephone; Telephone Call (Coll.),telefon telefonim,Objects,41
תיק,תיקים,Bag,tik tikim,Objects,41
מצעים,,"Linen, Bedding",matza'im,Objects,41
גלגל,גלגלים,Wheel,gal'gal gal'galim,Objects,41
רומן,רומנים,Novel,roman rom'nim,Objects,41
מספריים,,Scissors,mis'parayim,Objects,41
מכתב,מכתבים,Letter,mikh'tav mikh'tavim,Objects,41
פעמון,פעמונים,Bell,pa'amon pa'amonim,Objects,41
ספוג,ספוגים,Sponge,s'fog s'fugim,Objects,41
ספל,ספלים,mug,sefel s'falim,Objects,41
שורש,שורשים,Root,shoresh shorashim,Objects,41
נייר,ניירות,Paper; Document,n'yar n'yarot,Objects,41
דגל,דגלים,"Flag, Banner",degel d'galim,Objects,41
חוט,חוטים,String; Wire,khut khutim,Objects,41
מנוע,מנועים,"Engine, Motor",mano'a m'noim,Objects,41
מסרק,מסרקים,Comb,mas'rek mas'r'kim,Objects,41
נר,נרות,Candle,ner nerot,Objects,41
טלוויזיה,טלוויזיות,"TV, Television",televiz'yah televiz'yot,Objects,41
סוללה,סוללות,Battery,sol'lah sol'lot,Objects,41
קופסה,קופסאות,"Box, Container, Can",kuf'sah kuf'sa'ot,Objects,41
בריכה,בריכות,Swimming Pool,b'rekhah b'rekhot,Objects,41
מטרייה,מטריות,Umbrella,mit'riyah mit'riyot,Objects,41
מחבת,מחבתות,"Pan, Frying Pan, Skillet",makh'vat makh'vatot,Objects,41
עצם,עצמות,"Object, Bone",etzem atzamot,Objects,41
מכונה,מכונות,Machine,m'khonah m'khonot,Objects,41
שרשרת,שרשרות,Chain,shar'sheret shar'sherot,Objects,41
חתיכה,חתיכות,Piece; Pretty Woman (Slang),khatikhah khatikhot,Objects,41
אבקה,אבקות,"Powder, Pollen",av'kah av'kot,Objects,41
גדר,גדרות,Fence,gader g'derot,Objects,41
מתנה,מתנות,"Gift, Present",matanah matanot,Objects,41
קניות,,Shopping,k'niyot,Objects,42
אחד שני,,Each Other,ekhad (-)sheni,Objects,42
מתקלח,,Showers (Oneself),mit'kaleakh,Objects,42
מתגלח,,Shaves (Oneself),mit'galeakh,Objects,42
מסתפר,,Takes A Haircut,mis'taper,Objects,42
מסתכל,,Looks,mis'takel,Objects,42
משתמש,,Uses,mish'tamesh,Objects,42
מתקשר,,Calls (Telephone),mit'kasher,Objects,42
מתחזק,,Gets Stronger/More Religious,mit'khazek,Objects,42
מתאמן,,"Practices, Trains",mit'amen,Objects,42
מתקרב,,Comes Closer,mit'karev,Objects,42
מתחנך,,Educates (Oneself),mit'khanekh,Objects,42
מתחנן,,"Begs, Pleads",mit'khanen,Objects,42
מתגבר,,"Overcome(s), Gets Over",mit'gaber,Objects,42
מסתיים,,Finishes (Passive),mis'tayem,Objects,42
מתגעגע,,Misses (Feeling),mit'ga'agea,Objects,42
מסתובב,,Turns Around,mis'tovev,Objects,42
מתקרר,,Cools Off (Passive),mit'karer,Objects,42
מתחמם,,Heats Up (Passive),mit'khamem,Objects,42
מזדקן,,Gets Old,miz'daken,Objects,42
מתאושש,,Recovers,mit'oshesh,Objects,42
מתחבא,,Hides,mit'khabe,Objects,42
משתכר,,Gets Drunk,mish'taker,Objects,42
משתנה,,Changes (Oneself),mish'taneh,Objects,42
מתאחד,,Unites (With Someone Else),mit'akhed,Objects,42
מתחבר,,Connects (Oneself),mit'khaber,Objects,42
מתנתק,,Disconnects (Oneself),mit'natek,Objects,42
מתייעץ,,Consults (With Someone),mit'ya'etz,Objects,42
מתכונן,,Gets (Oneself) Ready,mit'konen,Objects,42
מצטרף,,Joins,mitz'taref,Objects,42
מתמודד,,Deals With,mit'moded,Objects,42
מתעלם,,Ignores,mit'alem,Objects,42
מתפלל,,Prays,mit'palel,Objects,42
מתנצל,,Apologizes,mit'natzel,Objects,42
מתבלבל,,Gets Confused,mit'bal'bel,Objects,42
מתעמל,,Works Out,mit'amel,Objects,42
שמאלי,,Left-Handed,s'ma'li,Objects,42
ימני,,Right-Handed,y'mani,Objects,42
חוקי,,Legal,khuki,Objects,42
שונה,,Different,shoneh,Objects,42
מקומי,,Local,m'komi,Objects,42
נדיר,,Rare,nadir,Objects,42
פופולרי,,Popular,populari,Objects,42
זמין,,Available,zamin,Objects,42
רשמי,,Official,rish'mi,Objects,42
סופי,,Final,sofi,Objects,42
שלם,,"Complete, Whole",shalem,Objects,43
מיידי,,Immediate,miyadi,Objects,43
יחיד,,Single,yakhid,Objects,43
מסורתי,,Traditional,masar'ti,Objects,43
מודרני,,Modern,moder'ni,Objects,43
היסטורי,,Historic,his'tori,Objects,43
חכם,,Smart,khakham,Objects,43
מטומטם,,Dumb,m'tum'tam,Objects,43
טיפש,,"Stupid, Foolish",tipesh,Objects,43
מכוער,,Ugly,m'kho'ar,Objects,43
מדהים,,Amazing,mad'him,Objects,43
דתי,,Religious,dati,Objects,43
תרבותי,,Cultural,tar'buti,Objects,43
מוכן,,Ready,mukhan,Objects,43
עמוק,,Deep,amok,Objects,43
טהור,,Pure,tahor,Objects,43
ראשי,,Main,rashi,Objects,43
חד,,Sharp,khad,Objects,43
בטוח,,Certain,batuakh,Objects,43
בודד,,"Lonely, Single",boded,Objects,43
טרי,,Fresh,tari,Objects,43
עבה,,Thick,aveh,Objects,43
צר,,Narrow,tzar,Objects,43
רחב,,Wide,rakhav,Objects,43
מרתק,,Fascinating,m'ratek,Objects,43
מוזר,,"Strange, Weird",muzar,Objects,43
עולמי,,Global,olami,Objects,43
בריא,,Healthy,bari,Objects,43
תחתון,,Under,takh'ton,Objects,43
עליון,,Upper,el'yon,Objects,43
עתיק,,Ancient,atik,Objects,43
יומי,,Daily,yomi,Objects,43
אישי,,Personal,ishi,Objects,43
שבועי,,Weekly,sh'vu'i,Objects,43
גרוע,,Bad,garu'a,Objects,43
מרשים,,Impressive,mar'shim,Objects,43
חודשי,,Monthly,khod'shi,Objects,43
שנתי,,Yearly,sh'nati,Objects,43
נפלא,,Wonderful,nif'la,Objects,43
חלק,חלקים,"Part, Portion",khelek khal'kim,Abstract Objects 1,43
שירות,שירותים,Service,sherut sherutim,Abstract Objects 1,43
סוג,סוגים,"Type, Sort, Class",sug sugim,Abstract Objects 1,43
עיצוב,עיצובים,Design,itzuv itzuvim,Abstract Objects 1,43
מקרה,מקרים,"Occurence, Incident",mik'reh mik'rim,Abstract Objects 1,43
שינוי,שינויים,Change,shinuy shinuyim,Abstract Objects 1,43
חשבון,חשבונות,"Account, Tab, Check, Bill",khesh'bon khesh'bonot,Abstract Objects 1,43
פרופיל,פרופילים,Profile,p'rofil p'rofilim,Abstract Objects 1,43
רעש,רעשים,Noise,ra'ash r'ashim,Abstract Objects 1,43
תיאור,תיאורים,Description,te'ur te'urim,Abstract Objects 1,43
תוכן,תכנים,"Content, Substance",tokhen t'khanim,Abstract Objects 1,43
ערך,ערכים,Value,erekh arakhim,Abstract Objects 1,44
ציוד,,Equipment,tziyud,Abstract Objects 1,44
צד,צדדים,Side,tzad tz'dadim,Abstract Objects 1,44
ביצוע,ביצועים,Performance,bit'zua bitzu'im,Abstract Objects 1,44
הסכם,הסכמים,Agreement,hes'kem hes'kemim,Abstract Objects 1,44
פיתרון,פתרונות,Solution,pit'ron pit'ronot,Abstract Objects 1,44
ייצור,ייצורים,"Manufacturing, Production",yitzur yitzurim,Abstract Objects 1,44
מבנה,מבנים,"Structure, Formation",miv'neh miv'nim,Abstract Objects 1,44
תור,תורים,Queue,tor torim,Abstract Objects 1,44
מצב,מצבים,Situation,matzav matzavim,Abstract Objects 1,44
עניין,עניינים,"Matter, Interest",in'yan in'yanim,Abstract Objects 1,44
קול,קולות,Voice,kol kolot,Abstract Objects 1,44
תפקיד,תפקידים,"Role, Duty, Task",taf'kid taf'kidim,Abstract Objects 1,44
כישלון,כישלונות,Failure,kishalon kish'lonot,Abstract Objects 1,44
משבר,משברים,Crisis,mash'ber mish'b'rim,Abstract Objects 1,44
פרס,פרסים,"Reward, Prize, Award",p'ras p'rasim,Abstract Objects 1,44
ציון,ציונים,Grade,tziyun tziyunim,Abstract Objects 1,44
נושא,נושאים,Subject,nose nos'im,Abstract Objects 1,44
חושך,,Darkness,khoshekh,Abstract Objects 1,44
קצה,קצוות,Edge,katzeh k'tzavot,Abstract Objects 1,44
סוף,סופים,"End, Finish",sof sofim,Abstract Objects 1,44
שיא,שיאים,"Peak, Record",si si'im,Abstract Objects 1,44
השקפה,השקפות,"Perspective, Point of View",hash'kafah hash'kafot,Abstract Objects 1,44
רשימה,רשימות,List,r'shimah r'shimot,Abstract Objects 1,44
פקודה,פקודות,"Command, Order",p'kudah p'kudot,Abstract Objects 1,44
מערכת,מערכות,System,ma'arekhet ma'arakhot,Abstract Objects 1,44
קבוצה,קבוצות,Group,k'vutzah k'vutzot,Abstract Objects 1,44
גירסה,גירסות,Version,gir'sah gir'sot,Abstract Objects 1,44
שליטה,שליטות,Control,sh'litah sh'litot,Abstract Objects 1,44
שיחה,שיחות,Conversation,sikhah sikhot,Abstract Objects 1,44
רמה,רמות,Level,ramah ramot,Abstract Objects 1,44
תמונה,תמונות,"Picture, Image",t'munah t'munot,Abstract Objects 1,44
קטגורייה,קטגוריות,Category,kategoriyah kategor'yot,Abstract Objects 1,44
בעיה,בעיות,Problem,b'ayah b'ayot,Abstract Objects 1,44
אפשרות,אפשרויות,Possibility,ef'sharut ef'sharuyot,Abstract Objects 1,44
פעילות,פעילויות,"Activity, Action",p'ilut p'iluyot,Abstract Objects 1,44
תוצאה,תוצאות,Result,totza'ah totza'ot,Abstract Objects 1,44
הגנה,הגנות,Defence,haganah haganot,Abstract Objects 1,44
תגובה,תגובות,Response,t'guvah t'guvot,Abstract Objects 1,44
כניסה,כניסות,Entrance,k'nisah k'nisot,Abstract Objects 1,44
השפעה,השפעות,Influence,hash'pa'ah hash'pa'ot,Abstract Objects 1,44
משאלה,משאלות,Wish,mish'alah mish'alot,Abstract Objects 1,44
תקווה,תקוות,Hope,tik'vah tik'vot,Abstract Objects 1,44
הזדמנות,הזדמנויות,Opportunity,hiz'dam'nut hiz'dam'nuyot,Abstract Objects 1,44
יציאה,יציאות,Exit,y'tzi'ah y'tzi'ot,Abstract Objects 1,44
ברירה,בררות,"Option, Choice",b'rerah b'rerot,Abstract Objects 1,44
הצלחה,הצלחות,Success,hatz'lakhah hatz'lakhot,Abstract Objects 1,44
הקדמה,הקדמות,"Intro, Preface",hak'damah hak'damot,Abstract Objects 1,44
כוונה,כוונות,Intention,kavanah kavanot,Abstract Objects 1,44
מנוחה,מנוחות,Rest,m'nukhah m'nukhot,Abstract Objects 1,44
חלופה,חלופות,Alternative,khalufah khalufot,Abstract Objects 1,44
החלטה,החלטות,Decision,hakh'latah hakh'latot,Abstract Objects 1,44
התחלה,התחלות,"Beginning, Start",hat'khalah hat'khalot,Abstract Objects 1,44
לך,,"Walk!, Go! (Qal)",lekh,Abstract Objects 1,45
רוץ,,Run! (Qal),rutz,Abstract Objects 1,45
עזור,,Help! (Qal),azor,Abstract Objects 1,45
בוא,,Come! (Qal),bo,Abstract Objects 1,45
שמור,,"Save!, Keep! (Qal)",sh'mor,Abstract Objects 1,45
תן,,Give! (Qal),ten,Abstract Objects 1,45
עשה,,Do! (Qal),aseh,Abstract Objects 1,45
עצור,,Stop! (Qal),atzor,Abstract Objects 1,45
קח,,Take! (Qal),kakh,Abstract Objects 1,45
דע,,Know! (Qal),da,Abstract Objects 1,45
קנה,,Buy! (Qal),k'neh,Abstract Objects 1,45
פתח,,Open! (Qal),p'takh,Abstract Objects 1,45
שים,,Put! (Qal),sim,Abstract Objects 1,45
טוס,,Fly! (Qal),tus,Abstract Objects 1,45
שב,,Sit! (Qal),shev,Abstract Objects 1,45
שכח,,Forget! (Qal),sh'khakh,Abstract Objects 1,45
צפה,,"Watch!, Expect! (Qal)",tz'feh,Abstract Objects 1,45
שלח,,Send! (Qal),sh'lakh,Abstract Objects 1,45
שתה,,Drink! (Qal),sh'teh,Abstract Objects 1,45
צא,,"Go Out!, Exit! (Qal)",tze,Abstract Objects 1,45
דבר,,"Talk!, Speak! (Piel)",daber,Abstract Objects 1,45
נסה,,"Try!, Attempt! (Piel)",naseh,Abstract Objects 1,45
חפש,,"Search!, Look For! (Piel)",khapes,Abstract Objects 1,45
סמן,,"Mark!, Indicate! (Piel)",samen,Abstract Objects 1,45
תקן,,"Fix!, Repair! (Piel)",taken,Abstract Objects 1,45
קבל,,Accept! (Piel),kabel,Abstract Objects 1,45
רחם,,Have Mercy! (Piel),rakhem,Abstract Objects 1,45
ערבב,,"Mix!, Stir! (Piel)",arbev,Abstract Objects 1,45
חכה,,Wait! (Piel),khakeh,Abstract Objects 1,45
סיים,,Finish! (Piel),sayem,Abstract Objects 1,45
צלם,,Take A Picture! (Piel),tzalem,Abstract Objects 1,45
ברך,,Bless! (Piel),barekh,Abstract Objects 1,45
למד,,"Learn!, Study! (Qal)",lemad,Abstract Objects 1,45
הקשב,,Listen! (Hifil),hak'shev,Abstract Objects 1,45
הראה,,Show! (Hifil),har'eh,Abstract Objects 1,45
הרגש,,"Feel!, Sense! (Hifil)",har'gesh,Abstract Objects 1,45
האמן,,"Believe!, Trust! (Hifil)",ha'amen,Abstract Objects 1,45
התחל,,"Start!, Begin! (Hifil)",hat'khel,Abstract Objects 1,45
החזר,,Return! (Transitive) (Hifil),hakh'zer,Abstract Objects 1,45
הוסף,,Add! (Hifil),hosef,Abstract Objects 1,45
הזמן,,Invite! (Hifil),haz'men,Abstract Objects 1,45
הצג,,"Present!, Show! (Hifil)",hatzeg,Abstract Objects 1,45
החלט,,Decide! (Hifil),hakh'let,Abstract Objects 1,45
החלף,,"Change!, Exchange!, Swap! (Hifil)",hakh'lef,Abstract Objects 1,45
הזכר,,Remind! (Hifil),haz'ker,Abstract Objects 1,45
התקלח,,Take A Shower! (Hitpael),hit'kaleakh,Abstract Objects 1,45
הסתכל,,"Look!, Watch! (Hitpael)",his'takel,Abstract Objects 1,45
התקרב,,"Come Closer!, Approach! (Hitpael)",hit'karev,Abstract Objects 1,45
התחבא,,Hide! (Hitpael),hit'khabe,Abstract Objects 1,45
התחבר,,"Connect!, Join Together! (Hitpael)",hit'khaber,Abstract Objects 1,45
הצטרף,,Join! (Group/Organisation) (Hitpael),hitz'taref,Abstract Objects 1,45
התעלם,,"Ignore!, Disregard! (Hitpael)",hit'alem,Abstract Objects 1,46
התפלל,,Pray! (Hitpael),hit'palel,Abstract Objects 1,46
התכונן,,Get Prepared! (Hitpael),hit'konen,Abstract Objects 1,46
הסתפר,,Cut Hair! (Hitpael),his'taper,Abstract Objects 1,46
השתמש,,Use! (Hitpael),hish'tamesh,Abstract Objects 1,46
מילון,מילונים,Dictionary,milon milonim,Languages,46
משפט,משפטים,Sentence,mish'pat mish'patim,Languages,46
שם עצם,שמות עצם,Noun,shem etzem sh'mot etzem,Languages,46
פועל,פעלים,Verb,po'al p'alim,Languages,46
שם תואר,שמות תואר,Adjective,shem to'ar shemot to'ar,Languages,46
פסיק,פסיקים,Comma,p'sik psikim,Languages,46
שפה,שפות,Language,safah safot,Languages,46
אות,אותיות,Letter,ot otiyot,Languages,46
בלשן,בלשנים,Linguist,bal'shan bal'shanim,Languages,46
בלשנות,,Linguistics,bal'shanut,Languages,46
פסקה,פסקות,"Paragraph, Section",pis'kah p'sakot,Languages,46
שורה,שורות,Line,shurah shurot,Languages,46
נקודה,נקודות,"Period, Dot",n'kudah n'kudot,Languages,46
שפת אם,שפות אם,Mother Tongue,s'fat em s'fot em,Languages,46
ספרדית,,Spanish,s'fardit,Languages,46
צרפתית,,French,tzar'fatit,Languages,46
גרמנית,,German,ger'manit,Languages,46
רוסית,,Russian,rusit,Languages,46
סינית,,Chinese,sinit,Languages,46
הולנדית,,Dutch,holan'dit,Languages,46
איטלקית,,Italian,ital'kit,Languages,46
פורטוגזית,,Portuguese,por'tugezit,Languages,46
שוודית,,Swedish,sh'vedit,Languages,46
דנית,,Danish,denit,Languages,46
ערבית,,Arabic,aravit,Languages,46
יפנית,,Japanese,yapanit,Languages,46
צ'כית,,Czech,chekhit,Languages,46
יוונית,,Greek,y'vanit,Languages,46
הונגרית,,Hungarian,hun'garit,Languages,46
אירית,,Irish,irit,Languages,46
פולנית,,Polish,polanit,Languages,46
הינדי,,Hindi,hin'di,Languages,46
יידיש,,Yiddish,yidish,Languages,46
אספרנטו,,Esperanto,es'peran'to,Languages,46
חילוץ,חילוצים,Rescue,khilutz khilutzim,Emergency,46
כבאי,כבאים,Firefighter,kabai kaba'im,Emergency,46
חובש,חובשים,Medic,khobesh khov'shim,Emergency,46
מקרה חירום,מקרי חירום,Emergency,mik'reh kherum mik'rei kherum,Emergency,46
מגן דוד אדום,,Magen David Adom,magen david adom,Emergency,46
פיצוץ,פיצוצים,Explosion,pitzutz pitzutzim,Emergency,46
עזרה,,Help!,ez'rah,Emergency,46
זהירות,זהירויות,Caution,z'hirut z'hiruyot,Emergency,47
הכרה,הכרות,Consciousness,hakarah hakarot,Emergency,47
החייאה,,CPR,hakh'ya'ah,Emergency,47
מצוקה,מצוקות,Distress,m'tzukah m'tzukot,Emergency,47
תאונה,תאונות,Accident,t'unah t'unot,Emergency,47
שריפה,שריפות,Fire,s'refah s'refot,Emergency,47
עזרה ראשונה,,First Aid,ez'rah ri'shonah,Emergency,47
אזעקה,אזעקות,"Alarm, Siren",az'akah az'akot,Emergency,47
לכוד,,Trapped,lakhud,Emergency,47
פצוע,,"Injured, Wounded",patzu'a,Emergency,47
מסוכן,,"Dangerous, Perilous",m'sukan,Emergency,47
מתחשמל,,(Am) Electrocuted (m.s) (Hitpael),mit'khash'mel,Emergency,47
הצילו,,"Help!, Rescue! (2.m.p - imp.) (Hifil)",hatzilu,Emergency,47
לבצע,,"To Perform, Execute (Piel)",l'vatze'a,Emergency,47
להתעלף,,"To Pass Out, Faint, Swoon (Hitpael)",l'hit'alef,Emergency,47
ליפול,,"To Fall, Drop (Qal)",lipol,Emergency,47
לטבוע,,"To Drown, Sink (Qal)",lit'bo'a,Emergency,47
עתיד,,Future (Time),atid,Emergency,47
עבר,,Past (Time),avar,Emergency,47
הווה,,"Present, Now (Time)",hoveh,Emergency,47
אהיה,,I Will Be (1.c.s) (Qal),eh'yeh,Emergency,47
תהיה,,You/She Will Be (2.m.s) (Qal),tih'yeh,Emergency,47
תהיי,,You Will Be (2.f.s) (Qal),tih'yi,Emergency,47
נהיה,,We Will Be (1.c.p) (Qal),nih'yeh,Emergency,47
תהיו,,You Will Be (2.m.p) (Qal),tih'yu,Emergency,47
יהיו,,They Will Be (3.m.p) (Qal),yih'yu,Emergency,47
תהיינה,,You/They Will Be (3.f.p) (Qal),tih'yenah,Emergency,47
יהיה,,He Will Be (3.m.s) (Qal),yih'yeh,Emergency,47
אוכל,,I Will Eat (Qal),okhal,Emergency,47
תאכל,,You (m.s),tokhal,Emergency,47
תאכלי,,You (f.s),tokh'li,Emergency,47
יאכל,,He/It,yokhal,Emergency,47
תאכל,,She/It,tokhal,Emergency,47
נאכל,,We,nokhal,Emergency,47
תאכלו,,You (m.p),tokh'lu,Emergency,47
תאכלנה,,You (f.p),tokhal'nah,Emergency,47
יאכלו,,They (m.p),yokh'lu,Emergency,47
תאכלנה,,They (f.p),tokhal'nah,Emergency,47
אשתה,,I Will Drink (Qal),eshateh,Emergency,47
תישתה,,You (m.s),tishateh,Emergency,47
תישתי,,You (f.s),tishati,Emergency,47
יישתה,,He/It,yishateh,Emergency,47
תישתה,,She/It,tishateh,Emergency,47
נישתה,,We,nishateh,Emergency,47
תישתו,,You (m.p),tishatu,Emergency,47
תישתינה,,You (f.p),tishatenah,Emergency,47
יישתו,,They (m.p),yishatu,Emergency,47
תישתינה,,They (f.p),tishatenah,Emergency,47
אכתוב,,I Will Write (Qal),ekh'tov,Emergency,47
תכתוב,,You (m.s),tikh'tov,Emergency,47
תכתבי,,You (f.s),tikh't'vi,Emergency,48
יכתוב,,He/It,yikh'tov,Emergency,48
תכתוב,,She/It,tikh'tov,Emergency,48
נכתוב,,We,nikh'tov,Emergency,48
תכתבו,,You (m.p),tikh't'vu,Emergency,48
תכתבנה,,You (f.p),tikh'tov'nah,Emergency,48
יכתבו,,They (m.p),yikh't'vu,Emergency,48
תכתובנה,,They (f.p),tikh'tov'nah,Emergency,48
אשחה,,I Will Swim (Qal),esh'kheh,Emergency,48
תשחה,,You (m.s),tish'keh,Emergency,48
תשחי,,You (f.s),tish'khi,Emergency,48
ישחה,,He/It,yish'kheh,Emergency,48
תשחה,,She/It,tish'kheh,Emergency,48
נשחה,,We,nish'kheh,Emergency,48
תשחו,,You (m.p),tish'khu,Emergency,48
תשחינה,,You (f.p),tish'kheinah,Emergency,48
ישחו,,They (m.p),yish'khu,Emergency,48
שחינה,,They (f.p),tish'kheinah,Emergency,48
אראה,,I Will See (Qal),er'eh,Emergency,48
תראה,,You (m.s),tir'eh,Emergency,48
תראי,,You (f.s),tir'i,Emergency,48
יראה,,He/It,yir'eh,Emergency,48
תראה,,She/It,tir'eh,Emergency,48
נראה,,We,nir'eh,Emergency,48
תראו,,You (m.p),tir'u,Emergency,48
תראינה,,You (f.p),tir'einah,Emergency,48
יראו,,They (m.p),yir'u,Emergency,48
תראינה,,They (f.p),tir'einah,Emergency,48
אשמע,,I Will Hear; Listen (Qal),ehs'ma,Emergency,48
תשמע,,You (m.s),tish'ma,Emergency,48
תשמעי,,You (f.s),tish'm'i,Emergency,48
ישמע,,He/It,yish'ma,Emergency,48
תּשמע,,She/It,tish'ma,Emergency,48
נשמע,,We,nish'ma,Emergency,48
תשמעו,,You (m.p),tish'm'u,Emergency,48
תשמענה,,You (f.p),tish'ma'nah,Emergency,48
ישמעו,,They (m.p),yish'm'u,Emergency,48
תשמענה,,They (f.p),tish'ma'nah,Emergency,48
אעשה,,"I Will Do, Make, Create (Qal)",e'eseh,Emergency,48
תעשה,,You (m.s),ta'eseh,Emergency,48
תעשי,,You (f.s),ta'asi,Emergency,48
יעשה,,He/It,ya'aseh,Emergency,48
תעשה,,She/It,ta'aseh,Emergency,48
נעשה,,We,na'aseh,Emergency,48
תעשו,,You (m.p),ta'asu,Emergency,48
תעשינה,,You (f.p),ta'aseinah,Emergency,48
יעשו,,They (m.p),ya'asu,Emergency,48
תעשינה,,They (f.p),ta'aseinah,Emergency,48
אחשוב,,I Will Think (Qal),ekh'shov,Emergency,48
תחשוב,,You (m.s),takh'shov,Emergency,48
תחשבי,,You (f.s),takh'sh'vi,Emergency,48
יחשוב,,He/It,yakh'shov,Emergency,48
תחשוב,,She/It,takh'shov,Emergency,48
נחשוב,,We,nakh'shov,Emergency,48
תחשבו,,You (m.p),takh'sh'vu,Emergency,49
תחשובנה,,You (f.p),takh'shov'nah,Emergency,49
יחשבו,,They (m.p),yakh'sh'vu,Emergency,49
תחשובנה,,They (f.p),takh'shov'nah,Emergency,49
אוהב,,I Will Love (Qal),ohav,Emergency,49
תאהב,,You (m.s),tohav,Emergency,49
תאהבי,,You (f.s),tohavi,Emergency,49
יאהב,,He/It,yohav,Emergency,49
תאהב,,She/It,tohav,Emergency,49
נאֹהב,,We,nohav,Emergency,49
תאהבו,,You (m.p),tohavu,Emergency,49
תא הַבנה,,You (f.p),tohav'nah,Emergency,49
יאהבו,,They (m.p),yohavu,Emergency,49
תא הַבנה,,They (f.p),tohav'nah,Emergency,49
אתן,,"I Will Give, Allow (Qal)",eten,Emergency,49
תיתן,,You (m.s),titen,Emergency,49
תיתני,,You (f.s),tit'ni,Emergency,49
ייתן,,He/It,yiten,Emergency,49
תיתן,,She/It,titen,Emergency,49
ניתן,,We,niten,Emergency,49
תיתנו,,You (m.p),tit'nu,Emergency,49
תיתנה,,You (f.p),titenah,Emergency,49
ייתנו,,They (m.p),t'nu,Emergency,49
תיתנה,,They (f.p),titenah,Emergency,49
אלך,,I Will Go (Qal),elekh,Emergency,49
תלך,,You (m.s),telekh,Emergency,49
תלכי,,You (f.s),tel'khi,Emergency,49
ילך,,He/It,yelekh,Emergency,49
תלך,,She/It,telekh,Emergency,49
נלך,,We,nelekh,Emergency,49
תלכו,,You (m.p),tel'khu,Emergency,49
תלכנה,,You (f.p),telakh'nah,Emergency,49
ילכו,,They (m.p),yel'khu,Emergency,49
תלכנה,,They (f.p),telakh'nah,Emergency,49
אעמוד,,I Will Stand (Qal),e'emod,Emergency,49
תעמוד,,You (m.s),ta'amod,Emergency,49
תעמדי,,You (f.s),ta'amdi,Emergency,49
יעמוד,,He/It,ya'amod,Emergency,49
תעמוד,,She/It,ta'amod,Emergency,49
נעמוד,,We,na'amod,Emergency,49
תעמדו,,You (m.p),ta'am'du,Emergency,49
תעמדנה,,You (f.p),ta'amod'nah,Emergency,49
יעמדו,,They (m.p),yam'du,Emergency,49
תעמדנה,,They (f.p),ta'amod'nah,Emergency,49
אשלם,,I Will Pay (Piel),ashalem,Emergency,49
תשלם,,You (m.s),t'shalem,Emergency,49
תשלמי,,You (f.s),t'shal'mi,Emergency,49
ישלם,,He/It,y'shalem,Emergency,49
תשלם,,She/It,t'shalem,Emergency,49
נשלם,,We,n'shalem,Emergency,49
תשלמו,,You (m.p),t'shal'mu,Emergency,49
תשלמנה,,You (f.p),t'shalem'nah,Emergency,49
ישלמו,,They (m.p),y'shal'mu,Emergency,49
תשלמנה,,They (f.p),t'shalem'nah,Emergency,49
אפספס,,I Will Miss (Shot/Opportunity) Piel),afas'fes,Emergency,50
תפספס,,You (m.s),t'fas'fes,Emergency,50
תפספסי,,You (f.s),t'fas'f'si,Emergency,50
יפספס,,He/It,y'fas'fes,Emergency,50
תפספס,,She/It,t'fas'fes,Emergency,50
נפספס,,We,n'fas'fes,Emergency,50
תפספסו,,You (m.p),t'fas'f'su,Emergency,50
תפספסנה,,You (f.p),t'fas'fes'nah,Emergency,50
יפספסו,,They (m.p),y'fas'f'su,Emergency,50
תפספסנה,,They (f.p),t'fas'fes'nah,Emergency,50
אישן,,I Will Change (Piel),ishan,Emergency,50
תישן,,You (m.s),tishan,Emergency,50
תישני,,You (f.s),tish'ni,Emergency,50
יישן,,He/It,yishan,Emergency,50
תישן,,She/It,tishan,Emergency,50
נישן,,We,nishan,Emergency,50
תישנו,,You (m.p),tish'nu,Emergency,50
תישנה,,You (f.p),tishanah,Emergency,50
