hebrew,english,transliteration,skill,english_guidebook,english_pdf,skill_url,transliteration_key,lexeme_id,related_lexemes
במילון,,,Languages,,,Languages,bmylvn,dd544906029726440962197606540bc8,
בני,Cousin (m),ben dod b'nei dod,People,,Cousin (m),People,bny,2877973f8deb361ba1651bfc7113ec9a,
בנות,"Daughter, Girl",bat banot,People,,"Daughter, Girl",People,bnvt,6e0532459fdb38c3c1758bf487db33e5,
צרפתים,,,People,,,People,tsrptym,8656fbd8960b42176d8d008696baadb8,
חבֵרה,Friend (f),khaverah khaverot,People,,Friend (f),People,khberh,ae2d2db1f7a54665cfc8d9855b14c5bb,
צרפתי,French,tzar'fati,People,,French,People,tsrpty,9e365b7732a9cbdb40f5c863484f9386,
הציבור,the public,,People,the public,,People,htsybvr,e39822b19712152e01f988486835acf0,
מערכת היחסים,,,People,,,People,m`rkt hykhsym,3f914368875ad22128932e5abaa1b0b5,
המהדורות,,,Science,,,Science,hmhdvrvt,66584426fa4135445b62997d8f0a3fb5,
תאי,,,Science,,,Science,ty,cda9d7cd40a0c9fd82567133c61379be,
מהמהדורה,,,Science,,,Science,mhmhdvrh,dc366dfe94a726755f8443fdf670cb49,
במעבדה,,,Science,,,Science,bm`bdh,2e9c1297aa8a95036dbfe099e0486248,
וטון,,,Science,,,Science,vtvn,4760b64d58b0f3e2ce89d4bb44eea9e3,
גיאוגרפיה,Geography,ge'og'raf'yah,Science,,Geography,Science,gyvgrpyh,e48c9a5006d7038df4f21aa1ddcab377,
מד החום,,,Science,,,Science,md hkhvm,8554896e3f7804a34c0b7fa27413f14c,
המעבדה,,,Science,,,Science,hm`bdh,ea97b4da420c36fcbea823b57a5d7f34,
תאים,Cell,ta ta'im,Science,,Cell,Science,tym,d66a62f30ed4c4626e67a8e5e87a86cc,
נוסחאות,,,Science,,,Science,nvskhvt,48723f8f537b68bed834608e955a8093,
למעבדה,,,Science,,,Science,lm`bdh,f89f0d698290922096502b4dcec1b1ff,
הנוסחה,,,Science,,,Science,hnvskhh,2b7572de750ac54972d31500f9381bb5,
מדי חום,,,Science,,,Science,mdy khvm,1dab97181797deea70126fe871c402f2,
מגביר,,,Science,,,Science,mgbyr,02530c1ab070f07c62777a001b1cbcdd,
המחזור,,,Science,,,Science,hmkhzvr,a51185ee3b6642b08157e5c82a919bc6,
הגודל,,,Science,,,Science,hgvdl,23424186f8e4680feffc2d1e0ecd2ffb,
כוח משיכה,,,Science,,,Science,kvkh mshykh,ddae8d9373ccce149f3351ec9279ac79,
גודל,Size,godel g'dalim,Science,,Size,Science,gvdl,0dffe8038b5700ec1a309b952d283bac,
ביולוגיה,biology,biyolog'yah,Science,biology,Biology,Science,byvlvgyh,1e0337ab1320b34dab1ddeb5b43abca6,
הכימיה,,,Science,,,Science,hkymyh,f846bf5abd7710a6b5ccb4802201cde5,
בביולוגיה,,,Science,,,Science,bbyvlvgyh,3d426d1053b1561b5008225d9a446a6e,
מהירות,fast / speed / the speed of light / velocity,m'hirut m'hiruyot,Science,fast / speed / the speed of light / velocity,"Speed, Velocity",Science,mhyrvt,481299e4988b137a3a94fee754e770e1,
דגימה,"Sample, Specimen; Sampling",d'gimah d'gimot,Science,,"Sample, Specimen; Sampling",Science,dgymh,77e691198ebd04041ab39f1ea6a7ec52,
גרם,Gram,g'ram g'ramim,Science,,Gram,Science,grm,a779d10afc2b0b3eb844af93b2841c67,
מחזור,Cycle,makh'zor makh'zorim,Science,,Cycle,Science,mkhzvr,721ae86166ff290b81d67598c14470db,
וכימיה,and chemistry,,Science,and chemistry,,Science,vkymyh,521f4859ee53c3d9f22cc24334863d53,
ממהירות,from the speed / from the velocity / the speed of sound,,Science,from the speed / from the velocity / the speed of sound,,Science,mmhyrvt,abd7b4942c66ecf5efbe820595cf6f7b,
שטים,,,Travel,,,Travel,shtym,80d14cee6c37befcafab5050bfd3a5be,
דלק,"Fuel, Petrol",delek d'lakim,Travel,,"Fuel, Petrol",Travel,dlq,6d3fcad4d596eeff0fcb1869bbefea4d,
קו,Line,kav kavim,Travel,,Line,Travel,qv,a9f9bf3d164db863746d2f1378ad75c0,
האופנוע,,,Travel,,,Travel,hvpnv`,1ce8f82830fffc05c74011df92fc720f,
הרכב,,,Travel,,,Travel,hrkb,58bacf850ff2a4d1ee38cf2d4dd3cf07,
קווי,,,Travel,,,Travel,qvvy,a32a070167e80807af9790dfd82a92e4,
הטיסה,the flight,,Travel,the flight,,Travel,htysh,523b9b69dc850a76edd4cf58f54b5082,
טסים,,,Travel,,,Travel,tsym,03c47870abb5460cac251842bf86e617,
תחנת רכבת,,,Travel,,,Travel,tkhnt rkbt,561f01d8a2aba94c5027d4135d611ecf,
אופנוע,"Motorbike, Bike",ofano'a ofano'im,Travel,,"Motorbike, Bike",Travel,vpnv`,2c6114774cc437c89c55b45a34259b9b,
חשיבות,Importance,khashivut,Abstract Objects 2,,Importance,Abstract-Objects-2,khshybvt,84880b2850b7755a6a85d3767a17a55b,
חושים,Sense,khush khushim,Abstract Objects 2,,Sense,Abstract-Objects-2,khvshym,e257cdf3faaa3c1d7f3290d026093bb8,
אופי,Character; Personality,ofi ofayim,Abstract Objects 2,,Character; Personality,Abstract-Objects-2,vpy,1a9982c5ea6f706ae38418508f3b0ad2,
הטובה,,,Abstract Objects 2,,,Abstract-Objects-2,htvbh,71e99c346b185ec26ddd17fd9074f087,
הניצחון,,,Abstract Objects 2,,,Abstract-Objects-2,hnytskhvn,0258e3f57e5c05d1c2414e33b09fc7ad,
טובה,a favor / best / favor / good (sg. fem.),tovah,Abstract Objects 2,a favor / best / favor / good (sg. fem.),Good (f.s),Abstract-Objects-2,tvbh,addcf94533987cba0dc03c248a4b83ea,
תשומת הלב,,,Abstract Objects 2,,,Abstract-Objects-2,tshvmt hlb,fb969489fe4cd05f284c70a385ad486a,
החשיבות,,,Abstract Objects 2,,,Abstract-Objects-2,hkhshybvt,9c2cfdeb1d37dfc2f964fa0262d545e6,
זהויות,Identity,zehut zehuyot,Abstract Objects 2,,Identity,Abstract-Objects-2,zhvyvt,a0f622f65cc555c0f78cdaa7e5241e8e,
הסמל,,,Abstract Objects 2,,,Abstract-Objects-2,hsml,7420d063f8baadc9dcecddac989a15cd,
לניצחון,,,Abstract Objects 2,,,Abstract-Objects-2,lnytskhvn,ca1ae1ae294c884c7281198c0cef6175,
לגעת,Touch (b-) (Qal),laga'at,Infinitives 1,,Touch (b-) (Qal),Verbs:-Infinitive,lg`t,fcc3af7c6732fc21629b42e786f5c0bd,
לשים,To Put (Qal),lasim,Infinitives 1,,To Put (Qal),Verbs:-Infinitive,lshym,1edebd1e3d166dbc0c77ce6287d7c7c7,
לשלם,To Pay (Piel),l'shalem,Infinitives 1,,To Pay (Piel),Verbs:-Infinitive,lshlm,e39e4e31d0424220a4619a23401cd39e,
לסבול,"To Suffer, Tolerate (Qal)",lis'bol,Infinitives 1,,"To Suffer, Tolerate (Qal)",Verbs:-Infinitive,lsbvl,6a50b553dc654cbe69c2a67d47d9c38f,
ישאר,(He) Will Remain,yisha'er,Future Nif'al,,(He) Will Remain,Verbs:-Future-Nifal,yshr,65d7fa84659a5b0650beac523a07912d,
אאבד,,,Future Nif'al,,,Verbs:-Future-Nifal,bd,a20d080503ebd0e9ec10be4d37f60ff5,
יאבדו,,,Future Nif'al,,,Verbs:-Future-Nifal,ybdv,789e35694c276f160dbb86a17f103238,
שימו,,,Imperative 1,,,Imperative-1,shymv,7798fb18e9c3ff71bb9712280d833eb9,
עצור,stop,atzor,Imperative 1,stop,Stop! (Qal),Imperative-1,`tsvr,4764276c52215752a4d93dcc0b618120,
שים,Put! (Qal),sim,Imperative 1,,Put! (Qal),Imperative-1,shym,b88b2f5f32e500795df46fb5f4bebb54,
ערבבו,,,Imperative 1,,,Imperative-1,`rbbv,e37450d79a1eba916216a6aa7bb5c588,
האמֵן,"Believe!, Trust! (Hifil)",ha'amen,Imperative 1,,"Believe!, Trust! (Hifil)",Imperative-1,hmen,16ccd8ecd9e613b691d1f87bf814e478,
ערבב,"Mix!, Stir! (Piel)",arbev,Imperative 1,,"Mix!, Stir! (Piel)",Imperative-1,`rbb,eeb55ae2a92040e6a5dfa79b17987481,
דבר,a thing / speak (imp.) / thing,shum davar,Imperative 1,a thing / speak (imp.) / thing,Nothing,Imperative-1,dbr,303f6fb59a24635ea4e03ef530cd2cd6,
עצרו,,,Imperative 1,,,Imperative-1,`tsrv,79432752f7b8eb1b55bf410113fa1df7,
וצפו,,,Imperative 1,,,Imperative-1,vtspv,e770133aa0f700b2f305f687a7741695,
למדי,,,Imperative 1,,,Imperative-1,lmdy,5646828c9ae6ba8786b89864e57d9611,
סמן,"Mark!, Indicate! (Piel)",samen,Imperative 1,,"Mark!, Indicate! (Piel)",Imperative-1,smn,2b31653e413e7297870cce1ca3ab078e,
משרד ראש הממשלה,,,Construct State 2,,,Contruct-State-2,mshrd rsh hmmshlh,588768896f7ae86e94625cca1f21b816,
שעוני עצר,,,Construct State 2,,,Contruct-State-2,sh`vny `tsr,d34c256c1e42961a4aa96f9ef3bca2cd,
נהג המונית,,,Construct State 2,,,Contruct-State-2,nhg hmvnyt,2c8d48606ecdfad213b61a609d4c9494,
מגדל השמירה,,,Construct State 2,,,Contruct-State-2,mgdl hshmyrh,39a42c3985f7f77e3c23e50b8847e4e1,
סכין גילוח,,,Construct State 2,,,Contruct-State-2,skyn gylvkh,a9634770c416fa0c2bc52be1cfa4399e,
ארגז הכלים,,,Construct State 2,,,Contruct-State-2,rgz hklym,db1249bf25629380d6fba18c82f4b554,
במגדל השמירה,,,Construct State 2,,,Contruct-State-2,bmgdl hshmyrh,4d46ae4bc69cca64ebc39503a43f4757,
סכין הגילוח,,,Construct State 2,,,Contruct-State-2,skyn hgylvkh,b4c832205f1f2684ae750e65e39f4095,
פניית פרסה,,,Construct State 2,,,Contruct-State-2,pnyyt prsh,f9f68d6e14f5467646b6e058d4f0b5b1,
נהג מונית,,,Construct State 2,,,Contruct-State-2,nhg mvnyt,65ba853c71ac26911860abb57ef1d9db,
להפסקת האוכל,,,Construct State 2,,,Contruct-State-2,lhpsqt hvkl,e1ae292d4a6e83f66819bf67286c8fb7,
פניית הפרסה,,,Construct State 2,,,Contruct-State-2,pnyyt hprsh,c965b6c7f30380593dc2afde54c917d9,
קרובים,,,Adjectives 1 - Basics,,,Adjectives1-basics,qrvbym,5ff5288f4dbc20efed521a32c5a94ae7,
קרובה,,,Adjectives 1 - Basics,,,Adjectives1-basics,qrvbh,5f8ce3c4b3f76c2a5b29830dd2a90b68,
משטח,"Surface, Plane (Surface)",mish'takh mish'takhim,Geometry,,"Surface, Plane (Surface)",Geometry,mshtkh,83d440f22da627f12a2b01f5ebf6ed18,
קודקודים,Vertex,kad'kom kad'konim,Geometry,,Vertex,Geometry,qvdqvdym,edba6b6eb2dc0b5b80acca62a9f3557c,
השטח,the area,,Geometry,the area,,Geometry,hshtkh,69572c923437ecb90832d1dd215a6cfd,
הקודקוד,,,Geometry,,,Geometry,hqvdqvd,80fa736dc04bdeb3b3e2451ed369241a,
בזווית,,,Geometry,,,Geometry,bzvvyt,f2cad6a9eed4d5a52d986cb14a9eb461,
מקבילית,Parallelogram,mak'bilit mak'biliyot,Geometry,,Parallelogram,Geometry,mqbylyt,e04a4c8a68d5ec06e6ace9c1886687a2,
המשולש,,,Geometry,,,Geometry,hmshvlsh,46863e271ec1cda2c2b95b76ae89d3f5,
למקבילית,,,Geometry,,,Geometry,lmqbylyt,b3bbae8e5b8ef4c17af193e9c818c500,
טריגונומטריה,Trigonometry,t'rigonomet'r'yah,Geometry,,Trigonometry,Geometry,trygvnvmtryh,1df08865949a41e0bfa8d99db4954c75,
ריבוע,Square,ribu'a ribu'im,Geometry,,Square,Geometry,rybv`,18dd494ed63ba28740cb31b6f39ff816,
הזווית,,,Geometry,,,Geometry,hzvvyt,767256fc1219380e9f91d39aa2270c12,
צלעות,edges / edges (geometry),tzela tz'la'ot,Geometry,edges / edges (geometry),"Side, Edge",Geometry,tsl`vt,c8a45f5e0f900173fc5932c7e74370cf,
יספר,,,Future 2,,,Future-2,yspr,416f76d1c3b64ee820b5beee1951718c,
אציע,,,Future 2,,,Future-2,tsy`,fe902553a21a220bd62d75077178d234,
יעזרו,,,Future 2,,,Future-2,y`zrv,7aec80f79e5b8750199c0589ccd9f2da,
יעצור,,,Future 2,,,Future-2,y`tsvr,a754c1c4546e01fee9401de981c63b13,
יספרו,They Will Tell (Story) (3.m.p) (Piel),y'sap'ru,Future 2,,They Will Tell (Story) (3.m.p) (Piel),Future-2,ysprv,6578ab6c2adc56463a6c924c066a45d5,
ונקווה,,,Future 2,,,Future-2,vnqvvh,8c83d63f9b12eb03f4917a0c38dbd8ae,
אדע,,,Future 2,,,Future-2,d`,9dccbeefe700935435dccc0b1ce83782,
תציע,,,Future 2,,,Future-2,ttsy`,f61925e3e7bf6b80df8c2cfd1ee7e4f2,
אחכה,,,Future 2,,,Future-2,khkh,aeed5b16885132382704605113445d41,
תדע,,,Future 2,,,Future-2,td`,373fd353dbd2ee355035644f27ce2b87,
יקחו,,,Future 2,,,Future-2,yqkhv,4c7f4c038f7ec520cdfe6543831a4c43,
הדוקטורט,,,Education,,,Education,hdvqtvrt,924c3e6f09611c373599d63cd658d594,
לימודים,Study,limud limudim,Education,,Study,Education,lymvdym,92a9b5e458744165ef45086b00adf0df,
המרצֶה,,,Education,,,Education,hmrtseh,0e103c77582d6fb9f1e12d0e848c4564,
לתרגל,"To Practice, Train (Someone) (Piel)",l'tar'gel,Education,,"To Practice, Train (Someone) (Piel)",Education,ltrgl,c80145b5d430a32a22accc97326f18e7,
הפרק,the chapter / the episode,,Education,the chapter / the episode,,Education,hprq,2e776b7fa0777c8d598351fee03bfa9e,
הלימודים,,,Education,,,Education,hlymvdym,2bff0be1663b2d9ef2db6fb281b51d95,
ידע,Knowledge,yeda,Education,,Knowledge,Education,yd`,bfbfa0f04195df3481a493a3ed297ca2,
דוקטורט,"Doctorate, PhD",dok'torat dok'toratim,Education,,"Doctorate, PhD",Education,dvqtvrt,153e02f0f114fd37e42a9d723632f6d6,
תואר,adjective / degree,to'ar t'arim,Education,adjective / degree,Degree,Education,tvr,44441e47093226438746102dabced95f,
המרצָה,,,Education,,,Education,hmrtsah,fc467439f891d9e1a6cbd29b09b36331,
התואר,,,Education,,,Education,htvr,11ab4762afa8204bb7bc6504aae852f7,
להחמיץ,To Miss (Opportunity) (Hifil),l'hakh'mitz,Infinitives 2,,To Miss (Opportunity) (Hifil),Verbs:-Infinitives-2,lhkhmyts,238d53c5c9a5a684c3e14dfc5f7ecd46,
להסביר,"To Explain, Clarify (Hifil)",l'has'bir,Infinitives 2,,"To Explain, Clarify (Hifil)",Verbs:-Infinitives-2,lhsbyr,66b21d484181a50f7b22ad9b8eab0a55,
להגיש,,,Infinitives 2,,,Verbs:-Infinitives-2,lhgysh,fadb8a81031b4c859066234cd56c3a3c,
להגדיר,To Define (Hifil),l'hag'dir,Infinitives 2,,To Define (Hifil),Verbs:-Infinitives-2,lhgdyr,3b9ec41ad4de212da7f8f802d8592ac2,
לענות,answer / to answer,la'anot,Infinitives 2,answer / to answer,"Answer, Reply (Qal)",Verbs:-Infinitives-2,l`nvt,a88f7b5f22e6f4f5195c65f89873108f,
לשפר,To Improve (Something) (Piel),l'shaper,Infinitives 2,,To Improve (Something) (Piel),Verbs:-Infinitives-2,lshpr,47a4dc2a6e8742ba8a3d9c025dfe10a0,
למות,To Die (Qal),lamut,Infinitives 2,,To Die (Qal),Verbs:-Infinitives-2,lmvt,b8809504d0f32d7ad2921465c2c5f8a0,
להאמין,"To Believe, Trust (Hifil)",l'ha'amin,Infinitives 2,,"To Believe, Trust (Hifil)",Verbs:-Infinitives-2,lhmyn,86f02968fb274329b9453ed6052a105b,
אוסטרלי,Australian,os't'rali,People,,Australian,People,vstrly,55939808e821c74055325d96f35f6568,
והבחורה,,,People,,,People,vhbkhvrh,c277a6576b341c90a1302a0158aaa0e3,
ידיד,Friend (m) (Casual),yadid y'didim,People,,Friend (m) (Casual),People,ydyd,adc5e3b244b3389ac442bb58af4e9b80,
ידידות,Friend (f) (Casual),y'didah y'didot,People,,Friend (f) (Casual),People,ydydvt,a74559bc77e0913786f312952192b8d4,
האוסטרלי,,,People,,,People,hvstrly,6c9d27edf56865672cee915610831436,
בקרן,,,People,,,People,bqrn,b193c9def80dd0758f8974a32bfcea5e,
הקרן,,,People,,,People,hqrn,6dc8c33b27c718097fb557876685bfef,
הבחור,the boy / the guy / the young man,,People,the boy / the guy / the young man,,People,hbkhvr,e413c0f72b7a784d56dcbd2b281cd9ba,
בחורה,,,People,,,People,bkhvrh,c7fa2908854553fbcdfe92d21e321436,
נערים,Youth,no'ar no'arim,People,,Youth,People,n`rym,0b1bf5a9837ab9c9f9c0cfce75738f4d,
הקורבן,,,People,,,People,hqvrbn,2bde4b4271fa54898f5ec7f94d759328,
לזה,,,There is/To Have,,,There-is,lzh,59d3899fc4485d02dc06a17b8d4b3df5,
הסביבון,,,Jewish Festivals,,,Jewish-Festivals,hsbybvn,1749b42c97cdf1b801d02184f227ef7e,
לחגוג,to celebrate,lakh'gog,Jewish Festivals,to celebrate,To Celebrate (Qal),Jewish-Festivals,lkhgvg,f79b0d4036800f9fb7b6e02faaf94621,
סביבונים,,,Jewish Festivals,,,Jewish-Festivals,sbybvnym,e4b749e4da91374725da5834449e2552,
ראש השנה,,,Jewish Festivals,,,Jewish-Festivals,rsh hshnh,43a057a0eb785e914c9bcf6a15682165,
בתשעה באב,,,Jewish Festivals,,,Jewish-Festivals,btsh`h bb,eee7bbc51b2dbdcfe8cb5bcfa36caefc,
הצום,,,Jewish Festivals,,,Jewish-Festivals,htsvm,f769fc86e72d5a178519b0ed22e171ff,
ליל הסדר,,,Jewish Festivals,,,Jewish-Festivals,lyl hsdr,a47a8ea083875a28bd4739b375a35efd,
צומות,Fast,tzom tzomot,Jewish Festivals,,Fast,Jewish-Festivals,tsvmvt,b89987873d01e907186e55a4230092c3,
תשעה באב,,,Jewish Festivals,,,Jewish-Festivals,tsh`h bb,bcd7c0c5770fe5852ccda957d653c9b4,
חמישים,Fifty (m.s),khamishim,Numbers 2,,Fifty (m.s),Numbers-2,khmyshym,4cffd83fe92218825d10ff0f6d5bc046,
נגדי,,,Prepositions 1,,,Prepositions-1,ngdy,b73ab577791d15df21f3a9fdf2101bb1,
רציני,Serious,r'tzini,Adjectives 2,,Serious,Adjectives-2,rtsyny,98a9472b1aae0c9fa6565119fc88325e,
מההר,,,Nature,,,Nature,mhhr,30e43df83c6f3e55c265a1abe6f8ed5e,
צלם,Take A Picture! (Piel),tzalem,Imperative 1,,Take A Picture! (Piel),Imperative-1,tslm,ff43d2824cab6a03a021a2cdaa5ed8fa,71532ce4b4424b616044a5fb5c8d663d
כתב,Wrote (3.m.s) (Qal),katav,Verbs: Past Active 1,,Wrote (3.m.s) (Qal),Verbs:-Past-Active,ktb,3a42ff9cfb5032937802435c9f52a464,
אמרו,,,Verbs: Past Active 1,,,Verbs:-Past-Active,mrv,f69573a3a6395ebbea01db913835f921,
חומה,Wall,khomah khomot,Legends,,Wall,Legends,khvmh,bfd5bc4e5f9b7f623d1912ab77f56068,
תורנו,,,Abstract Objects 1,,,Abstract-Objects-1,tvrnv,077368d9313030c917773ea25d6a8994,
שרשרת,Chain,shar'sheret shar'sh'rot,Objects,,Chain,Objects,shrshrt,ef46a01f2953ade682a6404b7d690b83,d51336546ed2159ac4cb3a4cd5611b1f
מצגות,Presentation,matzeget matzagot,Education,,Presentation,Education,mtsgvt,8a5272fcf66f6fe289b3aeff951a65ea,
האהובה,favorite / loved,,"Passive: Pa'ul, Pu'al and Huf'al",favorite / loved,,Passive:-Paul-Pual-Hufal,hhvbh,aa1ab3d8a7340f276d2e04e7f728b249,
העט,the pen,,Education,the pen,,Education,h`t,eed465abd0fdef03b9948bfe0534568b,
משמעות,Meaning,mash'ma'ut mash'ma'uyot,Education,,Meaning,Education,mshm`vt,5eb5ef0d16ba7278d37194bbbf069ccb,
אמורה,should / supposed,,Modals,should / supposed,,Modal,mvrh,9dbe318acd86b7ae95e65d5707936fdd,
יכולה,can,,Modals,can,,Modal,ykvlh,4551c8b93557809ff29cebf62879d9ae,
נדבר,we will speak,n'daber,Verbs: Future Active 1,we will speak,We,Verbs:-Future-Active,ndbr,fdeed6437b7be9bf865c403770f0ddc8,
מלחינים,Composer,mal'khin mal'khinim,Music,,Composer,Music,mlkhynym,980a10c11fe203be77b544d8e9368368,
התיאוריה,,,Science,,,Science,htyvryh,35ee505e930ee529f0416e01472d6ded,
רציתי,,,Verbs: Past Active 1,,,Verbs:-Past-Active,rtsyty,38257615f297b5f49899a84a146bbc71,
מאוהבים,,,Feelings,,,Feelings,mvhbym,d9b73ab0fb508a08b20882be0f475826,
הזמר,,,Music,,,Music,hzmr,aeff0bf9a6b50f8fdf6098e655fd56f6,
כינור,Violin,kinor kinorot,Music,,Violin,Music,kynvr,630d45f3e569fb580c9336eb8a453cea,
וכינור,,,Music,,,Music,vkynvr,2ccc6aeb7bdd892812db85ea5b59cf72,
נשרפת,,,Nif'al Construction,,,Nifal-Construction,nshrpt,bca26e84d3f2d3614dd70889e1393d0a,
לצבוע,"To Paint, Colour, Tint (Qal)",litz'boa,Colors,,"To Paint, Colour, Tint (Qal)",Colors,ltsbv`,b0f70e70ea72bbca363388a104fa9e27,
אליה,to her / towards her,,Prepositions 2,to her / towards her,,Prepositions-2,lyh,ebcdb59c2e51ee62053f0bc3b8bf0829,d0f9a79a737d918d2aa706bb484b448b
החולָה,,,Medical,,,Medical,hkhvlah,c6bedd2aa9c193790ee7d294cad42b06,
דבש,Honey,d'vash,Food 2,,Honey,Food-2,dbsh,a1cdb5e8a45b131c1f9645446a15a4aa,
הסטודנטים,,,Education,,,Education,hstvdntym,2a0bab0119526f39203d7ddff3fd2867,
ואוגוסט,,,Dates and Time,,,Dates-and-Time,vvgvst,18e70f0dd3fa1ee57cdfc56e72566c40,
הנגב,,,Welcome To Israel,,,Welcome-To-Israel,hngb,a804bb8194bfd06abb1c3b82f81a8be7,
משקה,"Beverage, Drink",mashkeh mashka'ot,Food 2,,"Beverage, Drink",Food-2,mshqh,c0aa4dbe95e572f3fde1fc9baee0d47e,
עוגייה,Cookie,ugiyah ugiyot,Food 2,,Cookie,Food-2,`vgyyh,5392f92e2f6e732ec116f73bc6369ee9,
התלמידה,,,Occupations,,,Occupations,htlmydh,6ef84699b2e0397336d3111db4062b46,
קשית,Straw,kashit kashiyot,Diminutives,,Straw,Diminutives,qshyt,c7a4d233f7c93cca9b4d2fc543649d98,
סבתא,grandma / grandmother,sav'ta sav'tot,Family,grandma / grandmother,Grandmother,Family,sbt,e8f33d19b624c244a7986877c74ab9c2,
לילד,,,There is/To Have,,,There-is,lyld,71986b34da75f701afb1fe367af7924e,
החוץ,,,Politics,,,Politics,hkhvts,1a0b3f317762bdae9dbb98c044391c0d,
יום העצמאות,,,Welcome To Israel,,,Welcome-To-Israel,yvm h`tsmvt,75cf0df9d9d74b770608d4b0c0860b81,
הבלאגן,,,Welcome To Israel,,,Welcome-To-Israel,hblgn,323864d398a2c9d8fcd9d91c4d19bee7,
בקיבוץ,,,Welcome To Israel,,,Welcome-To-Israel,bqybvts,b92d83c24d05c88c0031e88193617392,
שואלים,M.P - Pres.,sho'alim,Questions,,M.P - Pres.,Questions,shvlym,16d19f922d8189ec33fe8b8ef5b31b7f,
עשוי,liable / made / might,asuy,Modals,liable / made / might,"Might, May",Modal,`shvy,5f266e130f5017e5669d373af75dbd2f,
חייבים,,,Modals,,,Modal,khyybym,503056512c60e32418ce9e412d3af81f,
מהירוֹת,"Speed, Velocity",m'hirut m'hiruyot,Adjectives 1 - Basics,,"Speed, Velocity",Adjectives1-basics,mhyrvot,bb1e32df88f817efddcaae3e003e66a2,
ישראלים,Israeli,ish'r'eli is'r'elim,People,,Israeli,People,yshrlym,b500e4981c74e46088162bff4e8b0d4d,
רצתה,,,Verbs: Past Active 1,,,Verbs:-Past-Active,rtsth,ed388becdec160e0af6d1c22e7136f83,
שקיות,Small Bag,sakit sakiyot,Diminutives,,Small Bag,Diminutives,shqyvt,efe37a8efde0b759cbefc70e438add78,
שומר הראש,,,Construct State 2,,,Contruct-State-2,shvmr hrsh,ebc411245486738d45b7d4dc636df130,
מלפפון,Cucumber,m'laf'fon m'laf'fonim,Food 2,,Cucumber,Food-2,mlppvn,8d60e6f2e6f1435f195626dcdd929063,
המקום,the place,,Places,the place,,Places,hmqvm,0b5065cf75eb6651613bec2b0351f325,
רוצות,Want (f.p - pres.),rotzot,Food 1,,Want (f.p - pres.),Food-1,rvtsvt,0fae8f507c47b475bf688dce87cebae3,
איפה שאנחנו,,,Conjunctions,,,Conjunctions,yph shnkhnv,7a90ad2f5c4bd6d156e194b300ee3e0c,
ואז,,,Conjunctions,,,Conjunctions,vz,9f84813a61076dad4fb9e5044dcc7690,
חוץ מסגול,,,Conjunctions,,,Conjunctions,khvts msgvl,5431d383dfa469c20278a64662463b81,
רומן,Novel,roman rom'nim,Objects,,Novel,Objects,rvmn,79bb6f13f7b9592de88b4e41ab93b65c,
גבוהה,high (sg. fem.) / tall (sg. fem.) / taller,,Adjectives 1 - Basics,high (sg. fem.) / tall (sg. fem.) / taller,,Adjectives1-basics,gbvhh,91dfa4a39ca00c12c95d97d02e04bae3,
אכולה,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,kvlh,900c5719fc32415a2575e3728cf70944,
אכול,"Eaten, Devoured",akhol,"Passive: Pa'ul, Pu'al and Huf'al",,"Eaten, Devoured",Passive:-Paul-Pual-Hufal,kvl,0d93b80ae9c2564fd55177ae5824b28c,f1f3e0a582dc4c0628f166273c892c4e
האהוב,the loved,,"Passive: Pa'ul, Pu'al and Huf'al",the loved,,Passive:-Paul-Pual-Hufal,hhvb,e64a8d5c3c5533427017b120919dac0b,
המטופלת,,,Medical,,,Medical,hmtvplt,257cbd2df60c8669110737474b990cf5,
העצמאית,,,Adjectives 2,,,Adjectives-2,h`tsmyt,be85de0ee17f9c1f8dc13b92193433e8,
אמרתי,,,Verbs: Past Active 1,,,Verbs:-Past-Active,mrty,338288ced3b204c155decc74fb4c4f2a,
אכלתי,,,Verbs: Past Active 1,,,Verbs:-Past-Active,klty,5c492b88756a241c74334f4e9257208e,
שנשרף,,,Nif'al Construction,,,Nifal-Construction,shnshrp,ef1ae95bc03bc801cc515ae10fd9022a,
נראַה,We,nir'eh,Nif'al Construction,,We,Nifal-Construction,nrah,8a8140b65361293f99553459d43f5a35,
נגרמים,,,Nif'al Construction,,,Nifal-Construction,ngrmym,10f7b71883f3f450ef39e50efb8a7103,
מסעדתנו,,,Possessives 2,,,Possessives-2,ms`dtnv,f36690d002a82d020c59f5731a981210,
נסגר,"Was Closed, Was Shut",nis'gar,Past Nif'al,,"Was Closed, Was Shut",Verbs:-Past-Nifal,nsgr,6c24640698d6f672b8fd4aa6f5f60421,
יבש,Dry,yavesh,Adjectives 1 - Basics,,Dry,Adjectives1-basics,ybsh,9f8fa4ec39ac3115d0ba00eed351ed36,
מהירים,,,Adjectives 1 - Basics,,,Adjectives1-basics,mhyrym,2edcb4abd38d6b61e6c6be9252724fde,
והתפוח,,,Adjectives 1 - Basics,,,Adjectives1-basics,vhtpvkh,0ba7ec07a9ea882af9423f2e9e81def1,
קצר,"Short, Brief (Length, Time)",katzar,Adjectives 1 - Basics,,"Short, Brief (Length, Time)",Adjectives1-basics,qtsr,eea607f0974a0bd76025b095f55d0748,
חייב,,,Modals,,,Modal,khyyb,c34b7dc718229094399e3f8b7ec0176e,
